[2016-10-17 15:36:17.339] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/aios.provision
[2016-10-17 15:36:17.339] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/config.properties
[2016-10-17 15:36:17.339] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/wakeup.param
[2016-10-17 15:36:17.340] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/aios.provision
[2016-10-17 15:36:17.340] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/config.properties
[2016-10-17 15:36:17.340] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/wakeup.param
[2016-10-17 15:36:17.340] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/aios.provision
[2016-10-17 15:36:17.340] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/config.properties
[2016-10-17 15:36:17.340] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/wakeup.param
[2016-10-17 15:36:17.340] [INFO] dateFileLog - readFolder file src/unzip/yidonghulian-aimi/Q30S-6735P/assets/aios.provision
[2016-10-17 15:36:17.340] [INFO] dateFileLog - readFolder file src/unzip/yidonghulian-aimi/Q30S-6735P/assets/config.properties
[2016-10-17 15:36:17.340] [INFO] dateFileLog - readFolder file src/unzip/yidonghulian-aimi/Q30S-6735P/assets/wakeup.param
[2016-10-17 15:36:17.340] [INFO] dateFileLog - readFolder file src/unzip/yitu-aimi/T6-8735P/assets/aios.provision
[2016-10-17 15:36:17.340] [INFO] dateFileLog - readFolder file src/unzip/yitu-aimi/T6-8735P/assets/config.properties
[2016-10-17 15:36:17.340] [INFO] dateFileLog - readFolder file src/unzip/yitu-aimi/T6-8735P/assets/wakeup.param
[2016-10-17 15:36:17.340] [INFO] dateFileLog - readFolder file src/unzip/zushihui-aimi/V3-6735/assets/aios.provision
[2016-10-17 15:36:17.340] [INFO] dateFileLog - readFolder file src/unzip/zushihui-aimi/V3-6735/assets/config.properties
[2016-10-17 15:36:17.340] [INFO] dateFileLog - readFolder file src/unzip/zushihui-aimi/V3-6735/assets/wakeup.param
[2016-10-17 15:36:22.384] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/diyixianchang-aimi/D687-6735P/assets/wakeup.param
[2016-10-17 15:36:22.391] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/lintu-aimi/V9-6735/assets/wakeup.param
[2016-10-17 15:36:22.397] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/qizheng-aimi/818-6735/assets/wakeup.param
[2016-10-17 15:36:22.402] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/yidonghulian-aimi/Q30S-6735P/assets/wakeup.param
[2016-10-17 15:36:22.409] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/yitu-aimi/T6-8735P/assets/wakeup.param
[2016-10-17 15:36:22.413] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/zushihui-aimi/V3-6735/assets/wakeup.param
[2016-10-17 15:36:36.342] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/diyixianchang-aimi/D687-6735P/assets/wakeup.param
[2016-10-17 15:36:36.353] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/lintu-aimi/V9-6735/assets/wakeup.param
[2016-10-17 15:36:36.361] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/qizheng-aimi/818-6735/assets/wakeup.param
[2016-10-17 15:36:36.368] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/yidonghulian-aimi/Q30S-6735P/assets/wakeup.param
[2016-10-17 15:36:36.376] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/yitu-aimi/T6-8735P/assets/wakeup.param
[2016-10-17 15:36:36.382] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/zushihui-aimi/V3-6735/assets/wakeup.param
[2016-10-17 15:36:50.842] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/diyixianchang-aimi/D687-6735P/assets/wakeup.param
[2016-10-17 15:36:50.856] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/lintu-aimi/V9-6735/assets/wakeup.param
[2016-10-17 15:36:50.871] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/qizheng-aimi/818-6735/assets/wakeup.param
[2016-10-17 15:36:50.883] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/yidonghulian-aimi/Q30S-6735P/assets/wakeup.param
[2016-10-17 15:36:50.895] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/yitu-aimi/T6-8735P/assets/wakeup.param
